Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Honest Apple Juice Box (6 fl. oz.),40,0,10,0,TRUE,
Jarritos Lime (12.5 fl. oz.),170,0,44,0,TRUE,
Jarritos Mandarian (12.5 fl. oz.),140,0,36,0,TRUE,
Jarritos Pineapple (12.5 fl. oz.),140,0,35,0,TRUE,
Jarritos Strawberry (12.5 fl. oz.),170,0,43,0,TRUE,
Mexican Coke (12 fl. oz.),150,0,39,0,TRUE,
Simply Orange Juice (11.5 fl. oz.),160,2,37,0,TRUE,
Vitamin Water Power C (20 fl. oz.),100,0,27,0,TRUE,
Vitamin Water XXX (20 fl. oz.),90,0,26,0,TRUE,
Vitamin Water Zero Squeezed Lemonade (20 fl. oz.),0,0,4,0,TRUE,
Milk Chocolate lowfat 1% (7 fl. oz.) (CA Standards),140,8,22,2,TRUE,M
Milk Chocolate lowfat 1% (8 fl. oz.) (Fed Standards),160,9,25,2.5,TRUE,M
Milk White lowfat 1% (7 fl. oz.) (CA Standards),90,7,11,2,TRUE,M
Milk White lowfat 1% (8 fl. oz.) (Fed Standards),100,8,12,2.5,TRUE,M
Double Chocolate Brownie (US),390,6,49,19,FALSE,"S,E,M,W"
Chocolate Chunk Cookie (US),250,3,33,12,FALSE,"S,E,M,W"
