Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
"Spinach, Feta & Egg White Wrap",290,20,34,8,TRUE,"E,M,S,W,SS"
Bacon & Gruyère Egg Bites,300,19,9,20,FALSE,"E,M"
Italian Sausage Egg Bites,240,15,10,19,FALSE,"E,M"
Egg White & Roasted Red Pepper Egg Bites,170,12,11,8,TRUE,"E,M"
"Potato, Cheddar & Chive Bakes",210,12,11,13,TRUE,"E,M"
Rolled & Steel-Cut Oatmeal,160,5,28,2,TRUE,
Ellenos Strawberry Shortcake Greek Yogurt,0,0,0,0,TRUE,
Ellenos Muesli Yogurt,0,0,0,0,TRUE,
Cinnamon Pull-Apart,300,6,38,13,TRUE,"M,S,W"
Sugar Plum Cheese Danish,330,7,42,15,TRUE,"M,W"
Cheese Danish,290,7,33,14,TRUE,"E,M,W"
Ham & Swiss Croissant,320,14,28,17,FALSE,"E,M,W"
Chocolate Croissant,300,5,34,18,TRUE,"E,M,S,W"
Butter Croissant,250,5,26,14,TRUE,"E,M,W"
Baked Apple Croissant,250,4,35,10,TRUE,"M,W"
"Banana, Walnut & Pecan Loaf",380,6,46,20,TRUE,"E,S,W"
Iced Lemon Loaf,410,5,59,17,TRUE,"E,M,S,W"
Pumpkin & Pepita Loaf,360,6,52,14,TRUE,"E,S,W"
Cinnamon Coffee Cake,380,4,57,15,TRUE,"E,M,S,W"
Petite Vanilla Bean Scone,140,2,20,6,TRUE,"E,M,S,W"
Blueberry Streusel Muffin,370,5,47,18,TRUE,"E,M,S,W"
Pumpkin Cream Cheese Muffin,350,5,53,14,TRUE,"E,M,S,W"
Plain Bagel,250,9,51,1,TRUE,"W"
Everything Bagel,270,10,52,2,TRUE,"W,SS"
Polar Bear Cake Pop,180,2,23,9,TRUE,"E,M,S,W"
Birthday Cake Pop,160,2,21,8,TRUE,"E,M,S,W"
Chocolate Cake Pop,150,2,21,8,TRUE,"E,M,S,W"
Raccoon Cake Pop,150,1,19,7,TRUE,"E,M,S,W"
Snowman Cookie,400,3,48,22,TRUE,"E,M,S,W"
Cranberry Bliss® Bar,290,3,39,15,TRUE,"E,M,S,W"
Cranberry Bliss® Bar Tray,290,3,39,15,TRUE,"E,M,S,W"
Chocolate Chip Cookie,370,5,47,19,TRUE,"E,M,S,W"
Double Chocolate Brownie,480,6,55,28,TRUE,"E,M,S,W"
Crispy Grilled Cheese on Sourdough,520,21,48,27,TRUE,"M,W"
Ham & Swiss on Baguette,510,25,43,25,FALSE,"M,W"
Tomato & Mozzarella on Focaccia,360,15,47,12,TRUE,"M,W"
Spicy Falafel Pocket,230,8,34,7,TRUE,"W,SS"
Jalapeño Chicken Pocket,200,11,23,7,FALSE,"M,W"
Cheese Trio Protein Box,520,20,59,24,TRUE,"M,W"
Eggs & Cheddar Protein Box,460,22,40,24,TRUE,"E,M,P,W,SS"
Cheese & Fruit Protein Box,470,20,37,28,TRUE,"M,W"
